,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,Year
61233,tt1718915,Teen Lust,Teen Lust,2014,2015-08-14,"Comedy, Horror",80,Canada,English,Blaine Thurier,"Jason Stone, Blaine Thurier",Independent Edge Films,"Jesse Carere, Daryl Sabara, Annie Clark, Jon Dore, Emmanuelle Vaugier, Cary Elwes, Kristin Bauer van Straten, Hrothgar Mathews, Hilary Jardine, Jon Cor, Amy Groening, Ali Tataryn, Matthew Enns, CindyMarie Small, Mackenzie Johnson",An awkward high school student strives to lose his virginity before his parents and their Satanic cult can sacrifice him to the devil.,4.6,1586,,,,,12.0,7.0,2015
61294,tt1723129,Warrioress,Warrioress,2015,2015-05-26,"Action, Adventure, Fantasy",92,UK,English,Ross Boyask,"Cecily Fay, Ross Boyask",Angry Badger Pictures,"Cecily Fay, Joelle Simpson, Helen Steinway Bailey, Christian Howard, Merrilees Fay Harris, Will Brenton, Loveday Holly, Alison Jones, Simon Feilder, Keith Eyles, Brendan Carr, Ryan Stuart, Jennie Flader, Penni Tovey, Aidan Cook","Two powerful female warriors must journey across a post-apocalyptic land to fight a ritual duel, and fulfill an ancient prophecy.",2.9,229,,,,,8.0,8.0,2015
61316,tt1725986,Il fidanzato di mia sorella,Some Kind of Beautiful,2014,2015-07-22,"Comedy, Romance",99,"USA, UK",English,Tom Vaughan,Matthew Newman,PalmStar Media,"Pierce Brosnan, Salma Hayek, Jessica Alba, Malcolm McDowell, Duncan Joiner, Ben McKenzie, Merrin Dungey, Fred Melamed, Ivan Sergei, Lombardo Boyar, Marlee Matlin, Lee Garlington, Paul Rae, Erik Passoja, Robert Mailhouse",A drama about a Cambridge poetry professor who begins to re-evaluate his life of Byronic excess.,5.7,13372,,,$ 2446097,11.0,42.0,58.0,2015
61350,tt1727770,Un'occasione da Dio,Absolutely Anything,2015,2015-09-03,"Comedy, Sci-Fi",85,UK,"English, French",Terry Jones,"Terry Jones, Gavin Scott",Bill and Ben Productions,"Simon Pegg, Kate Beckinsale, Sanjeev Bhaskar, Rob Riggle, Robert Bathurst, Eddie Izzard, Joanna Lumley, Marianne Oldham, Emma Pierson, Meera Syal, Mojo, Robin Williams, John Cleese, Terry Gilliam, Eric Idle","A group of eccentric aliens confers a human being with the power to do absolutely anything, as an experiment.",6.0,38716,,$ 20169,$ 6303792,31.0,118.0,89.0,2015
61351,tt1727776,Manuale scout per l'apocalisse zombie,Scouts Guide to the Zombie Apocalypse,2015,2015-10-30,"Action, Comedy, Horror",93,USA,English,Christopher Landon,"Carrie Lee Wilson, Emi Mochizuki",Paramount Pictures,"Tye Sheridan, Logan Miller, Joey Morgan, Sarah Dumont, David Koechner, Halston Sage, Cloris Leachman, Niki Koss, Hiram A. Murray, Lukas Gage, Drew Droege, Patrick Schwarzenegger, Blake Anderson, Elle Evans, Matty Cardarople","Three scouts, on the eve of their last camp-out, discover the true meaning of friendship when they attempt to save their town from a zombie outbreak.",6.3,44058,$ 15000000,$ 3703046,$ 16137046,32.0,151.0,164.0,2015
61411,tt1731701,Barely Lethal - 16 anni e spia,Barely Lethal,2015,2015-04-30,"Action, Comedy",96,USA,English,Kyle Newman,John D'Arco,Main Street Films,"Jaime King, Samuel L. Jackson, Madeleine Stack, Eva G. Cooper, Hailee Steinfeld, Sophie Turner, Andre Pushkin, Jessica Alba, Bruno Gunn, Dove Cameron, Rachael Harris, Jason Drucker, Alexandra Krosney, Emma Holzer, Gabriel Basso","A teenage special ops agent coveting a ""normal"" adolescence fakes her own death and enrolls in a suburban high school. She quickly learns that surviving the treacherous waters of high school is more challenging than international espionage.",5.4,19652,$ 15000000,$ 6075,$ 933847,44.0,77.0,61.0,2015
61422,tt1732651,Ghost Shark 2: Urban Jaws,Ghost Shark 2: Urban Jaws,2015,2015-06-27,"Drama, Fantasy, Horror",70,New Zealand,English,"Johnny Hall, Andrew Todd","Johnny Hall, Andrew Todd",Hybrid Motion Pictures,"Joh Bloomberg, Jake Sours, Harry Astarita, Campbell Cooley, Steve Austin, Sarah McMullan, Ban Abdul, Leighton Cardno, Patrick Powdrell, Adam Baines, Roberto Nascimento, Nick White, Eli Matthewson, Janina Matthewson, Ralph McCubbin-Howell","When Ghost Shark returns to terrorize Auckland, Mayor Broody calls in an expert ghost shark hunter to protect the citizens and finally defeat the creature.",2.7,174,NZD 4000,,,,6.0,1.0,2015
61427,tt1733105,Bekas,Bekas,2012,2015-03-19,"Adventure, Drama",97,"Sweden, Finland",Kurdish,Karzan Kader,Karzan Kader,Sonet Film AB,"Zamand Taha, Sarwar Fazil, Diya Mariwan, Suliman Karim Mohamad, Rahim Hussen, Abdulrahman Mohamad, Shirwan Mohamad, Bahadin Halabjai, Nawzad Majid, Bakir Mustafa, Baxan Mohamad, Mohamad Salah, Diyar Jamal, Binay Bahman, Ari Muhedin","Iraq in the early 1990 was a devastating land to survive in. When we think of Iraq, the first thing that tends to pop into our minds is the war and Saddam Hussein. But there is another side...",7.5,4386,EUR 2000000,,$ 479226,,26.0,24.0,2015
61452,tt1734579,Ztraceni v Mnichove,Ztraceni v Mnichove,2015,2015-10-22,"Comedy, Drama",105,Czech Republic,"Czech, French",Petr Zelenka,Petr Zelenka,Barrandov Studios,"Martin Mysicka, Tomás Bambusek, Vladimír Skultéty, Stanislas Pierret, Marcial Di Fonzo Bo, Jirí Reindl, Prokop Holoubek, Edita Leva, Marek Taclík, Jaroslav Pízl, Johana Matousková, Jan Kadlec Jr., Viliam Dostál, Jana Plodková, Jitka Schneiderová","Sir ""P"" a 90 year old gray parrot, formerly living with Edouard Daladier, the French prime minister responsible for signing the Munich Treaty, comes to Prague to give his ""account"" of the ...",6.9,533,,,$ 115922,,2.0,32.0,2015
61463,tt1735462,Pixies,Pixies,2015,2015-06-05,"Animation, Comedy",78,"Canada, Greece, USA, Belgium, Netherlands, France",English,Sean Patrick O'Reilly,Sean Patrick O'Reilly,Arcana Studio,"Christopher Plummer, Alexa PenaVega, Bill Paxton, Carlos PenaVega, Geoff Gustafson, Alison Wandzura, Kiefer O'Reilly, David Milchard, Eric Pollins, Sean Patrick O'Reilly, Michelle O'Reilly, Tyler Nicol, Summer O'Reilly, Lauren Basson, Denai Johnson","Joe Beck has lost the love of his life thanks to a Pixie's Curse and he now needs to figure out how to get his girl back, learn more about the mysterious Pixies and undo a bad deed he did long ago.",5.4,1397,,,$ 135437,,20.0,5.0,2015
61493,tt1737796,Gemini Rising,Gemini Rising,2013,2015-01-26,"Action, Sci-Fi, Thriller",93,"USA, Germany",English,Dana Schroeder,"Michael Todd, Kenny Yakkel",Pathfinder Film Group,"Lance Henriksen, Amy Hathaway, John Savage, Brian Krause, Dave Vescio, Anthony Vitale, Art Evans, James MacPherson, Andy Gates, Tamzin Brown, Cortney Palm, Michael Teh, Nicolas Porcelli, James Binaski, Tara Cardinal",A savvy ex-homeland security agent and martial arts expert is forced to a remote island to help the military unlock the secrets of an extraterrestrial technology. This sci fi thriller ...,3.1,331,$ 3500000,,,,5.0,4.0,2015
61513,tt1740552,Top je bio vreo,Top je bio vreo,2014,2015-01-15,"Drama, War",100,"Serbia, Bosnia and Herzegovina",Serbian,Slobodan Skerlic,"Vladimir Kecmanovic, Ales Kurt",Drina film,"Stanislav Rucnov, Anita Mancic, Muhamed Dupovac, Mugdim Avdagic, Kenan Music, Slavko Stimac, Milica Mihajlovic, Bojana Maljevic, Mira Banjac, Faketa Salihbegovic, Muhamed Bahonjic, Slobodan Perisic, Zeljko Stjepanovic, Gordana Gadzic, Ivica Vidovic",A grenade fired from a nearby hill kills the parents of a ten year old Serb boy during the siege of Sarajevo in 1992. The Boy looses his ability to speak. A lady neighbor adopts and takes ...,7.1,251,,,,,3.0,,2015
61526,tt1741273,Il segreto dei suoi occhi,Secret in Their Eyes,2015,2015-11-12,"Crime, Drama, Mystery",111,"USA, UK, Spain, South Korea",English,Billy Ray,"Billy Ray, Juan José Campanella",IM Global,"Chiwetel Ejiofor, Nicole Kidman, Julia Roberts, Dean Norris, Alfred Molina, Joe Cole, Michael Kelly, Zoe Graham, Patrick Davis, Eileen Fogarty, Lyndon Smith, Kim Yarbrough, Mark Famiglietti, Amir Malaklou, Niko Nicotera","A tight-knit team of rising investigators, along with their supervisor, is suddenly torn apart when they discover that one of their own teenage daughters has been brutally murdered.",6.3,42046,$ 19500000,$ 20180155,$ 34854990,45.0,167.0,173.0,2015
61564,tt1745701,Found in Time,Found in Time,2012,2015-01-15,"Sci-Fi, Thriller",91,USA,English,Arthur Vincie,Arthur Vincie,Chaotic Sequence,"MacLeod Andrews, Mina Vesper Gokal, Kelly Sullivan, Derek Morgan, Eric Martin Brown, Mollie O'Mara, Curt Bouril, Stephen C. Bradbury, GlennThomas Cruz, Stuart Rudin, Mary Monahan, Avery Pearson, Justin S. Myrick, Jaden Michael, Tony Wolf","Chris is a psychic who lives his life out of order - experiencing past, present and future as a jigsaw puzzle. But when he commits a murder in the future, he has to change his past and present in order to prevent it from happening.",4.8,168,,,,,6.0,5.0,2015
61569,tt1745787,The Tribe,Plemya,2014,2015-05-28,"Crime, Drama",126,"Ukraine, Netherlands","Ukrainian Sign Language, Ukrainian",Myroslav Slaboshpytskyi,Myroslav Slaboshpytskyi,Ukrainian State Film Agency,"Hryhoriy Fesenko, Yana Novikova, Rosa Babiy, Oleksandr Dsiadevych, Yaroslav Biletskiy, Ivan Tishko, Oleksandr Osadchyi, Oleksandr Sydelnykov, Oleksandr Panivan, Sasha Rusakov, Denis Gruba, Dania Bykobiy, Lenia Pisanenko, Kyrylo Koshyk, Maryna Panivan","A deaf boy joins a boarding school for similar children. Confronted by the violent and criminal antics of some of the other boys and girls, he struggles to conform and join the 'tribe'.",7.0,10079,,$ 150564,$ 215034,78.0,34.0,233.0,2015
61581,tt1748016,Brother's Keeper,Brother's Keeper,2013,2015-05-29,Drama,118,USA,English,"T.J. Amato, Josh Mills","Briana Hartman, Josh Mills",Desert Wind Films,"Michael Rooker, Ray Wise, Travis Tritt, W. Earl Brown, Robyn Lively, Alex Miller, Graham Miller, Daniel Samonas, Mackenzie Mauzy, Noell Coet, Josh Mills, Tyler Hollinger, Jaden Roberts, Ron Prather, Zach Lovering","Identical twins Andy and Pete Goodwynn have always been there for each other. But in a cruel twist of fate, orchestrated by the town's most powerful family, their lives are forever altered....",5.1,458,$ 2100000,,,,9.0,2.0,2015
61677,tt1754736,Chloe & Theo,Chloe & Theo,2015,2015-06-26,"Comedy, Drama",81,"Canada, USA","English, Inuktitut, Spanish",Ezna Sands,Ezna Sands,Arctica Films,"Theo Ikummaq, Dakota Johnson, Ashley Springer, André De Shields, Mira Sorvino, Michael Stiles, Jessica Anderson, Peter Henry Arnatsiaq, Christopher Backus, Lawrence Ballard, Brandon Boyd, DwVaughn Browne, Michelle Campbell, Quincy Chad, Lori Tan Chinn",From the northern ice comes a gentler kind of hero.,5.8,1485,,,$ 490,24.0,13.0,10.0,2015
61679,tt1754767,Toonstone,Toonstone,2014,2015-04-14,"Animation, Action, Comedy",81,USA,English,Brent Triplett,"Jon Etheridge, Bryan Mahoney",Hank and Jed Movie Pictures,"Aerli Austen, Sheila Brothers, Jon Etheridge, Bryan Mahoney, John Marchioni, Brad McWaters, Cullen Moss, Shaun O'Rourke, Nate Panning, Tony Schnur, Brent Triplett, Matthew Warzel",An inept gunslinger with an egotistical talking horse is recruited to save a town besieged by outlaws and evil aliens.,7.5,243,,,,,5.0,,2015
61764,tt1764355,Helix,Helix,2015,2015-01-01,"Action, Mystery, Sci-Fi",98,Canada,English,Eric Petey,Eric Petey,Greendale Productions,"Marc Petey, Robert L. Duncan, David Stuart, Kaare Anderson, Kevin Ault, Mark Bishop, Julien Boissaud, Ken Boyd, Artine Tony Browne, Lesli Brownlee, Sean Bygrave, Erin Cameron, Leon Chabot, Rhonda Dent, Alexa Devine",A recently promoted cop's lavish new lifestyle is jeopardized when the central computer system that governs his futuristic city pins him for a murder he didn't commit. Now he must return to...,4.3,725,,,,,9.0,2.0,2015
61788,tt1767354,Il luogo delle ombre,Odd Thomas,2013,2015-07-23,"Comedy, Fantasy, Horror",100,"USA, UK",English,Stephen Sommers,"Stephen Sommers, Dean R. Koontz",Fusion Films (II),"Anton Yelchin, Ashley Sommers, Leonor Varela, Matthew Page, Casey Messer, Barney Lanning, Nico Tortorella, Kyle McKeever, Willem Dafoe, Carmen Corley, Maisha Diatta, Gugu Mbatha-Raw, Addison Timlin, Jack Justice, Robin Lanning","In a California desert town, a short-order cook with clairvoyant abilities encounters a mysterious man with a link to dark, threatening forces.",6.8,46873,$ 27000000,,$ 1149267,45.0,257.0,150.0,2015
61789,tt1767372,Tutto può accadere a Broadway,She's Funny That Way,2014,2015-10-29,"Comedy, Drama",93,"USA, Germany",English,Peter Bogdanovich,"Louise Stratten, Peter Bogdanovich",Lagniappe Films,"Imogen Poots, Illeana Douglas, Graydon Carter, Owen Wilson, Scott Campbell, Erin Heatherton, Melanie Hill, Jake Hoffman, Rhys Ifans, Richard Lewis, Cybill Shepherd, Debi Mazar, Austin Pendleton, George Morfogen, Tovah Feldshuh","On the set of a playwright's new project, a love triangle forms between his wife, her ex-lover, and the call girl-turned-actress cast in the production.",6.1,23973,,$ 111996,$ 6034851,45.0,67.0,171.0,2015
61800,tt1772261,The Curse of Downers Grove,The Curse of Downers Grove,2015,2015-08-21,"Drama, Horror, Mystery",89,USA,English,Derick Martini,"Bret Easton Ellis, Bret Easton Ellis",AliBella Pictures,"Bella Heathcote, Lucas Till, Helen Slater, Penelope Mitchell, Mark L. Young, Zane Holtz, Martin Spanjers, Jeff Staron, Marcus Giamatti, Tom Arnold, Kevin Zegers, Sean A. Rosales, Joel Michael Kramer, Steven Martini, Jason Dubin","A teen angst thriller at a high school gripped by an apparent curse that claims the life of a senior every year. Story follows a senior, Chrissie, who is skeptical, and another, Tracy, who believes that she may be the next victim.",4.5,1699,$ 2000000,,$ 33462,31.0,30.0,35.0,2015
61805,tt1772288,La canzone della vita - Danny Collins,Danny Collins,2015,2015-04-10,"Biography, Comedy, Drama",106,USA,English,Dan Fogelman,Dan Fogelman,Big Indie Pictures,"Al Pacino, Annette Bening, Jennifer Garner, Bobby Cannavale, Christopher Plummer, Katarina Cas, Giselle Eisenberg, Melissa Benoist, Josh Peck, Brian Thomas Smith, Scott Lawrence, Michael Patrick McGill, Kiff VandenHeuvel, Nick Offerman, Eric Michael Roy",An aging rock star decides to change his life when he discovers a 40-year-old letter written to him by,7.0,29512,$ 10000000,$ 5637066,$ 10835752,58.0,124.0,151.0,2015
61883,tt1778906,Slew Hampshire,Slew Hampshire,2013,2015-06-06,"Drama, Horror, Thriller",103,USA,English,Flood Reed,Flood Reed,Gluefactory Features,"Dayo Okeniyi, Shawn Thomas Diefenbach, Tyler Rice, Jeremy Isabella, Flood Reed, Claire Dodin, Matt Hish, Mike Apple, Brian Atkinson, John Joyce, Michael Todd Schneider, Paul J Hennigan, Gaya Verneuil, Stephen O'Neil Martin, Chip Kratzinger","In June of 1994, one of the most brutal mass slaughters in history occurred in the backwoods of northern New England. Four months later, history is about to repeat itself. The end of summer...",4.4,240,$ 300000,,,,18.0,41.0,2015
61912,tt1781922,No Escape - Colpo di stato,No Escape,2015,2015-09-10,"Action, Thriller",103,"USA, Thailand","English, French, Thai, Khmer",John Erick Dowdle,"John Erick Dowdle, Drew Dowdle",Bold Films,"Owen Wilson, Lake Bell, Sterling Jerins, Claire Geare, Pierce Brosnan, Thanawut Ketsaro, Chatchawai Kamonsakpitak, Sahajak Boonthanakit, Tanapol Chuksrida, Nophand Boonyai, Kanarpat Phintiang, Jon Goldney, Duang Maidork, Suphornnaphat Jenselius, Barthélemy Son","In their new overseas house, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape from an environment where foreigners are being immediately executed.",6.8,76481,$ 16200000,$ 27288872,$ 54418872,38.0,327.0,219.0,2015
61942,tt1784359,Bedlam,Bedlam,2015,2015-04-14,Thriller,102,Australia,English,Chew Barker,Chew Barker,After Dark Films,"Guy Edmonds, John Boxer, Peter McAllum, Cassandra Swaby, Gary Boulter, Greg Hatton, Amanda Marsden, Matthew Blackwood-Hume, Penny Day, Mark Dessaix, Amelia-Rose Gattellari, Harry Gray, Adam Hatzimanolis, Chase Hope, Steve Maresca","George is a haunted man. He enters Bedlam Hospital for a guaranteed recovery, but it is a world darker than even his demons could conjure. Once, he fought for sanity, now he fights to survive. Welcome to Bedlam.",4.1,217,,,,,4.0,5.0,2015
61996,tt1789724,Cell Count,Cell Count,2012,2015-12-16,"Horror, Sci-Fi, Thriller",96,USA,English,Todd E. Freeman,Todd E. Freeman,Wooden Frame Productions,"Robert McKeehen, Haley Talbot, Christopher Toyne, Laura Duyn, Ted Rooney, John Breen, Sean McGrath, Eric Martin Reid, Adrienne Vogel, Eric Newsome, Judd Eustice, Suzanne Owens-Duval, Daniel Baldwin, Roger Wood, Evan Bailly","Russell Carpenter reluctantly admits his wife Sadie into an experimental treatment facility for her life threatening disease. While locked in this prison like surrounding they, along with 6...",3.7,670,,,,,21.0,29.0,2015
62007,tt1791528,Vizio di forma,Inherent Vice,2014,2015-02-26,"Comedy, Crime, Drama",148,USA,"English, Japanese",Paul Thomas Anderson,"Paul Thomas Anderson, Thomas Pynchon",Ghoulardi Film Company,"Joanna Newsom, Katherine Waterston, Joaquin Phoenix, Jordan Christian Hearn, Taylor Bonin, Jeannie Berlin, Josh Brolin, Eric Roberts, Serena Scott Thomas, Maya Rudolph, Martin Dew, Michael Kenneth Williams, Hong Chau, Shannon Collis, Christopher Allen Nelson","In 1970, drug-fueled Los Angeles private investigator Larry ""Doc"" Sportello investigates the disappearance of a former girlfriend.",6.7,92362,$ 20000000,$ 8110975,$ 14710975,81.0,301.0,437.0,2015
62012,tt1791682,Giovani si diventa,While We're Young,2014,2015-07-09,"Comedy, Drama, Mystery",97,USA,English,Noah Baumbach,"Noah Baumbach, Henrik Ibsen",IAC Films,"Naomi Watts, Ben Stiller, Maria Dizzia, Adam Horovitz, Matthew Maher, Peter Yarrow, Bonnie Kaufman, Hector Otero, Deborah Eisenberg, Adam Driver, Amanda Seyfried, Dree Hemingway, Matthew Shear, Annie Baker, Quincy Tyler Bernstine",A middle-aged couple's career and marriage are overturned when a disarming young couple enters their lives.,6.3,45905,$ 10000000,$ 7587485,$ 21075757,77.0,127.0,285.0,2015
62065,tt1798243,Ti lascio la mia canzone,Rudderless,2014,2015-02-21,"Comedy, Drama, Music",105,USA,English,William H. Macy,"Casey Twenter, Jeff Robison",Unified Pictures,"Miles Heizer, Aly Lovelace, Billy Crudup, Casey Twenter, David A. Flannery, Eric Starkey, Kenneisha Thompson, Ali Meyer, Lance West, Kevin Ogle, Linda Cavanaugh, Jennifer Savidge, Jamie Chung, Felicity Huffman, Phil Deberry","A grieving father in a downward spiral stumbles across a box of his recently deceased son's demo tapes and lyrics. Shocked by the discovery of this unknown talent, he forms a band in the hope of finding some catharsis.",7.5,17263,$ 5000000,$ 58293,$ 546149,52.0,81.0,49.0,2015
62071,tt1798684,Southpaw - L'ultima sfida,Southpaw,2015,2015-09-02,"Action, Drama, Sport",124,"Hong Kong, USA",English,Antoine Fuqua,Kurt Sutter,Escape Artists,"Jake Gyllenhaal, Rachel McAdams, Forest Whitaker, Oona Laurence, 50 Cent, Skylan Brooks, Naomie Harris, Victor Ortiz, Beau Knapp, Miguel Gomez, Dominic Colón, Jose Caraballo, Malcolm M. Mays, Aaron Quattrocchi, Lana Young","A champion boxer fights to get his daughter back from child protective services as well as revive his professional career, after a fatal incident sends him on a rampant path of destruction.",7.4,213235,$ 30000000,$ 52421953,$ 91970827,57.0,348.0,346.0,2015
62086,tt1800337,Lords of London,Lords of London,2014,2015-09-10,"Crime, Mystery, Thriller",90,UK,"English, Italian",Antonio Simoncini,Antonio Simoncini,Lost in Italy Films,"Glen Murphy, Ray Winstone, Serena Iansiti, Giovanni Capalbo, Christopher Hatherall, Glyn Grimstead, Helen Latham, Joe Egan, Mark Adams, Cassius Terence Murphy, Roberta Lena, Antonia Davies, Edward Darcy, Ray Bullock Jnr, Laura Hamm","A London gangster must confront his ruthless father's past in order to alter the gritty, abusive path that his life is spiraling down after a shakedown goes awry.",3.1,726,$ 3440000,,,,20.0,4.0,2015
62093,tt1800677,Camilla Dickinson,Camilla Dickinson,2012,2015-08-25,"Family, Romance",117,USA,English,Cornelia Duryée,"Madeleine L'Engle, Cornelia Duryée",Kairos Productions,"Adelaide Clemens, Samantha Mathis, Gregg Sulkin, Cary Elwes, Colby Minifie, Margaret Colin, Camryn Manheim, Robert Picardo, Salvator Xuereb, Lenny von Dohlen, Rachel Grate, Eric Ray Anderson, E.J. Brewer, Haynes Brooke, Christian Doyle","Fifteen-year-old Camilla Dickinson (Clemens), leads a sheltered life in New York City until her parents' marriage begins to fall apart. When Camilla meets her best friend's rebellious ...",5.6,127,,,,,1.0,1.0,2015
62171,tt1809398,Unbroken,Unbroken,2014,2015-01-29,"Biography, Drama, Sport",137,USA,"English, Japanese, Italian",Angelina Jolie,"Joel Coen, Ethan Coen",3 Arts Entertainment,"Jack O'Connell, Domhnall Gleeson, Garrett Hedlund, Miyavi, Finn Wittrock, Jai Courtney, Maddalena Ischiale, Vincenzo Amato, John Magaro, Luke Treadaway, Louis McIntosh, Ross Anderson, C.J. Valleroy, John D'Leo, Alex Russell","After a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp.",7.2,142962,$ 65000000,$ 115637895,$ 161459297,59.0,433.0,335.0,2015
62181,tt1810683,Little Boy,Little Boy,2015,2015-04-24,"Drama, History, War",106,"Mexico, USA",English,Alejandro Monteverde,"Alejandro Monteverde, Pepe Portillo",Metanoia Films,"Jakob Salvati, Emily Watson, David Henrie, Michael Rapaport, Cary-Hiroyuki Tagawa, Tom Wilkinson, Ben Chaplin, Ted Levine, Kevin James, Ali Landry Monteverde, Abraham Benrubi, Eduardo Verástegui, Aaron Leddick, Americus Abesamis, Andy Geller",An eight-year-old boy is willing to do whatever it takes to end World War II so he can bring his father home. The story reveals the indescribable love a father has for his little boy and the love a son has for his father.,7.4,21901,$ 20000000,$ 6485961,$ 17572289,30.0,139.0,52.0,2015
62231,tt1815817,Malaventura,Malaventura,2011,2015-02-12,"Adventure, Comedy",90,Mexico,Spanish,Carlos Rincones,Carlos Rincones,Balero Films,"Samantha Castellano, Octavio Castro, Jorge Celaya, Khristian Clausen, Jan Esparza, David Fridman, Wdeth Gabriel, Juan Pablo Gil, Martha Higareda, Miriam Higareda, Harding Junior, David Medel, Jeronimo Medina, Antonio Merlano, Ricardo Mestre","On the way to the party of the year, four friends decide to play an old school prank that lands them in jail and unleashes a chain of events that will unfold throughout the course of one day.",4.1,110,$ 500000,,,,1.0,,2015
62256,tt1817771,Scherzi della natura,Freaks of Nature,2015,2015-10-30,"Comedy, Horror, Sci-Fi",92,USA,English,Robbie Pickering,Oren Uziel,Columbia Pictures,"Nicholas Braun, Mackenzie Davis, Josh Fadem, Denis Leary, Ed Westwick, Vanessa Hudgens, Keegan-Michael Key, Bob Odenkirk, Joan Cusack, Chris Zylka, Ian Roberts, Rachael Harris, Mae Whitman, Patton Oswalt, Pat Healy","In the town of Dillford, humans, vampires and zombies were all living in peace - until the alien apocalypse arrived. Now three teenagers - one human, one vampire, and one zombie - have to team up to figure out how to get rid of the visitors.",5.9,10720,,$ 70958,$ 70958,,45.0,45.0,2015
62326,tt1823664,Annie - La felicità è contagiosa,Annie,2014,2015-04-02,"Comedy, Drama, Family",118,USA,English,Will Gluck,"Will Gluck, Aline Brosh McKenna",Marcy Media,"Jamie Foxx, Quvenzhané Wallis, Rose Byrne, Bobby Cannavale, Adewale Akinnuoye-Agbaje, David Zayas, Cameron Diaz, Zoe Margaret Colletti, Nicolette Pierini, Eden Duncan-Smith, Amanda Troya, Dorian Missick, Tracie Thoms, Mike Birbiglia, Stephanie Kurtzuba","A foster kid, who lives with her mean foster mom, sees her life change when business tycoon and New York City mayoral candidate Will Stacks makes a thinly-veiled campaign move and takes her in.",5.3,33381,$ 65000000,$ 85911262,$ 136853506,33.0,268.0,182.0,2015
62327,tt1823672,Humandroid,Chappie,2015,2015-04-09,"Action, Crime, Drama",120,"South Africa, USA",English,Neill Blomkamp,"Neill Blomkamp, Terri Tatchell",Columbia Pictures,"Sharlto Copley, Dev Patel, Ninja, Yo-Landi Visser, Jose Pablo Cantillo, Hugh Jackman, Sigourney Weaver, Brandon Auret, Johnny Selema, Anderson Cooper, Maurice Carpede, Jason Cope, Kevin Otto, Chris Shields, Bill Marchant","In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself.",6.8,226032,$ 49000000,$ 31569268,$ 102811889,41.0,765.0,394.0,2015
62468,tt1836869,Nobody Can Cool,Nobody Can Cool,2015,2015-04-10,"Drama, Horror, Thriller",92,USA,English,Dpyx,Dpyx,Nobody,"Catherine Annette, Nick Principe, Nikki Bohm, David Linski, Haris Mahic, Matan Grunseit",An uncomfortable evening among strangers turns ominous when a young couple on a weekend getaway inadvertently intrude on a criminal couple's hideout.,4.9,243,,,,,10.0,22.0,2015
62475,tt1836953,The Eve,The Eve,2015,2015-04-24,"Horror, Thriller",90,USA,English,Ritchie Steven Filippi,Evan Bass,Electronic Bass Entertainment,"Evan Bass, María DiDomenico, Al Thompson, Miranda Noelle Wilson, Rick Estabrook, Margaux Kelley, Jody Mullins","Friends head off to the remote island of Martha's Vineyard to celebrate New Year's Eve and reconnect. As tensions rise, an unforeseen presence halts celebrations and instead turns their holiday into a fight to live through to the new year.",4.2,306,,,,,42.0,3.0,2015
62481,tt1837574,Hyena,Hyena,2014,2015-03-06,"Crime, Drama, Thriller",112,UK,English,Gerard Johnson,Gerard Johnson,Film4,"Peter Ferdinando, Stephen Graham, Neil Maskell, Elisa Lasowski, MyAnna Buring, Richard Dormer, Gordon Brown, Tony Pitts, Orli Shuka, Gjevat Kelmendi, Thomas Craig, Lorenzo Camporese, Shaban Arifi, Alfred Doda, Mem Ferda","Good policing doesn't necessarily mean doing everything by the book. But as the business of crime in London turns to favour the Albanians and Turks, how does a ""good"" policeman survive?",6.1,2772,,$ 3401,$ 3586,56.0,28.0,69.0,2015
62519,tt1841490,Road 47,A Estrada 47,2013,2015-04-23,"Drama, History, War",107,"Brazil, Italy, Portugal","Portuguese, Italian, German, English, Spanish",Vicente Ferraz,Vicente Ferraz,Três Mundos Produções,"Sergio Rubini, Daniel de Oliveira, Thogun Teixeira, Francisco Gaspar, Júlio Andrade, Ivo Canelas, Richard Sammel, Cesare Apolito, Daniele Grassetti, Hassan El Jaï, Ignazio Oliva, Francesco Roder, Michele Venitucci","The unusual meeting between three deserters from different nationalities (Brazil, German and Italy) during World War II.",6.4,610,,,,,3.0,8.0,2015
62537,tt1842446,Good Morning Karachi,Good Morning Karachi,2013,2015-01-01,Drama,80,Pakistan,"Urdu, English",Sabiha Sumar,"Shandana Minhas, Malia Scotch Marmo",Vidhi Films,"Amna Ilyas, Yasir Aqueel, Beo Raana Zafar, Atta Yaqub, Saba Wasim Abbas, Afaq Nasir, Khalid Malik, Farhan Ali Agha, Savera Nadeem, Shaheen Khan, Faiza Syed, Faysal Qureshi, Aamina Sheikh, Yasmin Syed, Deepak Perwani","Good Morning, Karachi is the story of a young girl (Amna Ilyas) who wants to be a model while struggling towards her dream against the backdrop of the Benazir Bhutto assassination.",5.7,237,PKR 46000000,,,,4.0,12.0,2015
