,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,Year
55860,tt1236254,Wind Walkers,Wind Walkers,2015,2015-10-16,"Action, Horror, Thriller",93,USA,English,Russell Friedenberg,Russell Friedenberg,Iron Circle Pictures,"Zane Holtz, Glen Powell, Kiowa Gordon, Phil Burke, Russell Friedenberg, Castille Landon, Christopher Kriesa, J. LaRose, Rudy Youngblood, Tsulan Cooper, Johnny Sequoyah, Andy Ameres, Jennifer Saba Conrad, Heather Rae, Vinnie Duyck","With one of their own missing, a group of friends travel to the remote Florida everglades where they discover that an ancient, malevolent curse is tracking them.",3.5,257,$ 200000,,,,5.0,27.0,2015
55966,tt1243974,Sotto il cielo delle Hawaii,Aloha,2015,2015-05-29,"Comedy, Drama, Romance",105,USA,"English, Hawaiian, Russian",Cameron Crowe,Cameron Crowe,Columbia Pictures,"Bradley Cooper, Emma Stone, Rachel McAdams, Bill Murray, John Krasinski, Danny McBride, Alec Baldwin, Bill Camp, Jaeden Martell, Danielle Rose Russell, Michael Chernus, Edi Gathegi, Dennis Bumpy Kanahele, Elizabeth Marvel, Ivana Milicevic",A celebrated military contractor returns to the site of his greatest career triumphs and reconnects with a long-ago love while unexpectedly falling for the hard-charging Air Force watch-dog assigned to him.,5.4,60915,$ 37000000,$ 21067116,$ 26250020,40.0,261.0,148.0,2015
56079,tt1254322,The Girl King,The Girl King,2015,2015-12-11,"Biography, Drama, History",106,"Finland, Germany, Canada, Sweden, France","English, French, German, Latin, Italian",Mika Kaurismäki,Michel Marc Bouchard,Marianna Films,"Malin Buska, Sarah Gadon, Michael Nyqvist, Lucas Bryant, Laura Birn, Hippolyte Girardot, Peter Lohmeyer, François Arnaud, Patrick Bauchau, Ville Virtanen, Martina Gedeck, Timo Torikka, Lotus Tinat, Jannis Niewöhner, Mikko Leppilampi","THE GIRL KING paints a portrait of the brilliant, extravagant Kristina of Sweden, queen from age six, who fights the conservative forces that are against her ideas to modernize Sweden and who have no tolerance for her awakening sexuality.",5.9,3511,EUR 6500000,,$ 369798,37.0,14.0,45.0,2015
56170,tt1262414,Pig,Pig,2011,2015-07-02,"Drama, Mystery, Sci-Fi",90,USA,"English, German",Henry Barrial,Henry Barrial,Antic Pictures,"Rudolf Martin, Heather Ankeny, Keith Diamond, Ines Dali, Patrick Fabian, Steve Tom, Sarah Danielle Madison, Deborah Dir, Brian Lally, Leyna Weber, Pamela Salem, Henry Barrial, Kurt Boesen, Matt Miller, Glen Powell","A man wakes up alone in the middle of the desert with a black hood on his head and his hands tied behind his back. At death's door, he is discovered by a woman living alone in the desert ...",5.8,572,,,,,9.0,23.0,2015
56321,tt1274586,Il nemico invisibile,Dying of the Light,2014,2015-07-09,"Action, Drama, Thriller",94,"Bahamas, USA","English, Romanian, Arabic",Paul Schrader,Paul Schrader,TinRes Entertainment,"Nicolas Cage, Anton Yelchin, Alexander Karim, Irène Jacob, Tomiwa Edun, Aymen Hamdouchi, Claudius Peters, Robert G. Slade, Geff Francis, Silas Carson, Serban Celea, Derek Ezenagu, Sharif Sharbek, Tim Silano, David Lipper","When a devastating illness threatens to end Evan Lake's career in the C.I.A., he goes rogue to hunt down a terrorist who tortured him during a mission gone awry years ago.",4.4,9562,$ 5000000,,$ 697847,31.0,64.0,74.0,2015
56560,tt1291570,Premonitions,Solace,2015,2015-11-12,"Crime, Drama, Mystery",101,USA,English,Afonso Poyart,"Sean Bailey, Ted Griffin",Eden Rock Media,"Anthony Hopkins, Jeffrey Dean Morgan, Abbie Cornish, Colin Farrell, Matt Gerald, Jose Pablo Cantillo, Marley Shelton, Xander Berkeley, Kenny Johnson, Joshua Close, Sharon Lawrence, Janine Turner, Luisa Moraes, Jordan Woods-Robinson, Niyi Oni",Psychic John Clancy (Sir Anthony Hopkins) works with the F.B.I. in order to hunt down a serial killer.,6.4,54382,,,$ 22354572,36.0,171.0,118.0,2015
56658,tt1298713,Passengers,Passengers,2009,2015-01-01,Drama,82,USA,English,Michael Bond,"Michael Bond, Michael Bond",Bondfilm,"Cameron Daddo, Angie Milliken, Bruce Davison, Patty Yuniverse, Christopher Mario Parker, Martie Ashworth, Oscar Williams, Lotus Daddo, River Daddo","Tom and Melony, a married couple living in Los Angeles, set out from their home in Santa Monica to meet friends for dinner in Hollywood. It's a Friday night - naturally, they hit traffic. By the time they get there, their marriage is over.",4.5,120,,,,,19.0,,2015
56674,tt1301304,The Haunting of Pearson Place,The Haunting of Pearson Place,2015,2015-02-02,"Horror, Thriller",96,USA,English,Michael Merino,Michael Merino,MCMFILMS,"Joe Estevez, Suzi Lorraine, Ken Arnold, Tracy Teague, Regen Wilson, Julie Price, Mick McGuire, Nadia Williams, Paul Bugelski, Ethan Cooper, Casey Wallace, Charles R. Young, Matt Gulbranson, Michael Merino, Kelley Slagle","A yuppie couple (in their mid thirties) buy a vacant house in the country in order to convert it to a bed and breakfast. The House, has other plans.",3.9,134,$ 550000,,,,38.0,1.0,2015
56930,tt1321869,The Lovers,The Lovers,2015,2015-02-13,"Action, Adventure, Romance",109,"Belgium, India, Australia","Hindi, English",Roland Joffé,"Ajey Jhankar, Roland Joffé",Corsan,"Josh Hartnett, Bipasha Basu, Tamsin Egerton, James Mackay, Alice Englert, Simone Kessell, Abhay Deol, Aegina De Vas, Andrea Deck, Matthew Beard, Bille Brown, Steve Nicolson, Vijay Thombre, Yatin Karyekar, Roshan Seth","An epic, sweeping and riveting tale of an impossible love set across two time periods and continents.",4.6,3043,$ 50000000,,$ 66428,19.0,25.0,10.0,2015
56949,tt1322393,Faith of Our Fathers,Faith of Our Fathers,2015,2015-07-01,Drama,96,USA,English,Carey Scott,"Kevin Downes, Carey Scott",Downes Brothers Entertainment,"Kevin Downes, David A.R. White, Stephen Baldwin, Candace Cameron Bure, Rebecca St. James, Sean McGowan, Scott Whyte, Ryan Doom, Chriss Anglin, Carson Brandeberry, Colton Brandeberry, Peggy Lord Chilton, Michael Daley, Brian F. Durkin, Billoah Greene",Two men embark on a trip to the Vietnam Veterans Memorial guided by the letters their fathers wrote while serving in the war.,3.7,580,,$ 1004105,$ 1004105,20.0,8.0,6.0,2015
